name,description,stars,forks,language,keywords,platform,package_manager_url,homepage,repository_url,status,rank
seldon-core,Seldon Core client and microservice wrapper,3608,732,HTML,"aiops, deployment, kubernetes, machine-learning, machine-learning-operations, mlops, production-machine-learning, serving",Pypi,https://pypi.org/project/seldon-core/,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,,16
autokeras,AutoML for deep learning,8719,1388,Python,"AutoML, Keras, autodl, automated-machine-learning, deep-learning, machine-learning, neural-architecture-search, python, tensorflow",Pypi,https://pypi.org/project/autokeras/,http://autokeras.com,,,16
sktime,A unified framework for machine learning with time series,6127,1023,Python,"data-science, machine-learning, data-mining, time-series, scikit-learn, forecasting, time-series-analysis, time-series-classification, time-series-regression",Pypi,https://pypi.org/project/sktime/,https://sktime.org,https://github.com/sktime/sktime,,16
nlp,HuggingFace/NLP is an open library of NLP datasets.,15149,2002,Python,"nlp, machine, learning, datasets, metrics, computer-vision, deep-learning, evaluation, hacktoberfest, machine-learning, natural-language-processing, numpy, pandas, pytorch, speech, tensorflow",Pypi,https://pypi.org/project/nlp/,https://github.com/huggingface/nlp,https://github.com/huggingface/nlp,,16
ultralytics,Ultralytics YOLOv8,4007,632,Python,"machine-learning, deep-learning, vision, ML, DL, AI, YOLO, YOLOv3, YOLOv5, YOLOv8, HUB, Ultralytics",Pypi,https://pypi.org/project/ultralytics/,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,,16
tensorflow-text,"TF.Text is a TensorFlow library of text related ops, modules, and subgraphs.",1037,268,C++,"tensorflow, text, machine, learning",Pypi,https://pypi.org/project/tensorflow-text/,http://github.com/tensorflow/text,https://github.com/tensorflow/text,,16
keras-tuner,A Hyperparameter Tuning Library for Keras,2674,355,Python,"automl, deep-learning, hyperparameter-optimization, keras, machine-learning, tensorflow",Pypi,https://pypi.org/project/keras-tuner/,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,,16
bert-serving-server,Mapping a variable-length sentence to a fixed-length vector using BERT model (Server),11195,2004,Python,"bert, nlp, tensorflow, machine, learning, sentence, encoding, embedding, serving, bert-as-service, clip-as-service, clip-model, cross-modal-retrieval, cross-modality, deep-learning, image2vec, multi-modality, neural-search, onnx, openai, pytorch, sentence-encoding, sentence2vec",Pypi,https://pypi.org/project/bert-serving-server/,https://github.com/hanxiao/bert-as-service,https://github.com/hanxiao/bert-as-service,,16
nevergrad,A Python toolbox for performing gradient-free optimization,3331,321,Python,,Pypi,https://pypi.org/project/nevergrad/,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,,15
deepface,"A Lightweight Face Recognition and Facial Attribute Analysis Framework (Age, Gender, Emotion, Race) for Python",5463,1168,Python,"age-prediction, arcface, deep-learning, deepface, deepid, emotion-recognition, face-analysis, face-recognition, facenet, facial-expression-recognition, facial-recognition, gender-prediction, machine-learning, openface, python, race-classification, vgg-face",Pypi,https://pypi.org/project/deepface/,https://github.com/serengil/deepface,https://github.com/serengil/deepface,,15
Edward,"A library for probabilistic modeling, inference, and criticism",4744,780,Jupyter Notebook,"machine, learning, statistics, probabilistic, programming, tensorflow, bayesian-methods, data-science, deep-learning, machine-learning, neural-networks, probabilistic-programming",Pypi,https://pypi.org/project/Edward/,http://edwardlib.org,https://github.com/blei-lab/edward,,15
calamari-ocr,Line based ATR Engine based on OCRopy,902,190,Python,"OCR, optical, character, recognition, ocropy, ocropus, kraken",Pypi,https://pypi.org/project/calamari-ocr/,https://github.com/Calamari-OCR/calamari,https://github.com/Calamari-OCR/calamari,,15
alibi,Algorithms for monitoring and explaining machine learning models,1919,217,Python,"counterfactual, explanations, interpretability, machine-learning, xai",Pypi,https://pypi.org/project/alibi/,https://github.com/SeldonIO/alibi,https://github.com/SeldonIO/alibi,,15
spleeter,The Deezer source separation library with pretrained models based on tensorflow.,21566,2365,Python,"audio-processing, bass, deep-learning, deezer, drums, model, pretrained-models, python, tensorflow, vocals",Pypi,https://pypi.org/project/spleeter/,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,,15
mesh-tensorflow,Mesh TensorFlow,1259,218,Python,"tensorflow, machine, learning",Pypi,https://pypi.org/project/mesh-tensorflow/,http://github.com/tensorflow/mesh,https://github.com/tensorflow/mesh,,15
bentoml,BentoML: The Unified Model Serving Framework,4530,527,Python,"MLOps, AI, BentoML, Model, Serving, Deployment, aws-lambda, aws-sagemaker, azure-ml, deep-learning, inference-server, kubernetes, machine-learning, machine-learning-operations, ml, ml-infrastructure, ml-platform, model-deployment, model-management, model-serving, prediction-service, pytorch, tensorflow",Pypi,https://pypi.org/project/bentoml/,https://bentoml.com,https://github.com/bentoml/BentoML,,15
deeplabcut,Markerless pose-estimation of user-defined features with deep learning,3490,1477,Python,"animal-pose-estimation, behavior-analysis, deep-learning, deeplabcut, feature-detectors, keypoint-detection, keypoint-tracking, labeling-tool, pose-estimation, toolbox",Pypi,https://pypi.org/project/deeplabcut/,https://github.com/DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut,,15
tensorflowonspark,Deep learning with TensorFlow on Apache Spark clusters,3810,964,Python,"cluster, featured, machine-learning, python, scala, spark, tensorflow, yahoo",Pypi,https://pypi.org/project/tensorflowonspark/,https://github.com/yahoo/TensorFlowOnSpark,https://github.com/yahoo/TensorFlowOnSpark,,15
catalyst,Catalyst. Accelerated deep learning R&D with PyTorch.,2916,361,Python,"Machine, Learning, Distributed, Computing, Deep, Reinforcement, Computer, Vision, Natural, Language, Processing, Recommendation, Systems, Information, Retrieval, PyTorch, computer-vision, deep-learning, distributed-computing, image-classification, image-processing, image-segmentation, information-retrieval, infrastructure, machine-learning, metric-learning, natural-language-processing, object-detection, python, recommender-system, reinforcement-learning, reproducibility, research, text-classification, text-segmentation",Pypi,https://pypi.org/project/catalyst/,https://github.com/catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,,15
gin-config,Gin-Config: A lightweight configuration library for Python,1421,96,Python,"gin-config, gin, python, configuration, machine, learning, configuration-management, tensorflow, tensorflow-experiments",Pypi,https://pypi.org/project/gin-config/,https://github.com/google/gin-config,https://github.com/google/gin-config,,15
PennyLane,PennyLane is a Python quantum machine learning library by Xanadu Inc.,1666,436,Python,"autograd, automatic-differentiation, cirq, deep-learning, differentiable-computing, hacktoberfest, jax, machine-learning, neural-network, optimization, python, pytorch, qiskit, qml, quantum, quantum-chemistry, quantum-computing, quantum-machine-learning, strawberryfields, tensorflow",Pypi,https://pypi.org/project/PennyLane/,https://github.com/XanaduAI/pennylane,https://github.com/XanaduAI/pennylane,,15
gpflow,Gaussian process methods in TensorFlow,1698,436,Python,"machine-learning, gaussian-processes, kernels, tensorflow, bayesian-statistics, deep-learning, gp, gpflow, markov-chain-monte-carlo, ml, stochastic-processes, variational-inference",Pypi,https://pypi.org/project/gpflow/,https://www.gpflow.org,,,15
fancyimpute,Matrix completion and feature imputation algorithms,1036,167,Python,,Pypi,https://pypi.org/project/fancyimpute/,https://github.com/iskandr/fancyimpute,https://github.com/iskandr/fancyimpute,,15
huggingface-hub,"Client library to download and publish models, datasets and other repos on the huggingface.co hub",701,174,Python,"model-hub, machine-learning, models, natural-language-processing, deep-learning, pytorch, pretrained-models, hacktoberfest",Pypi,https://pypi.org/project/huggingface-hub/,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,,15
sparseml,"Libraries for applying sparsification recipes to neural networks with a few lines of code, enabling faster and smaller models",1492,113,Python,"inference, machine, learning, neural, network, computer, vision, nlp, cv, deep, torch, pytorch, tensorflow, keras, sparsity, pruning, libraries, onnx, quantization, automl, computer-vision-algorithms, deep-learning-algorithms, deep-learning-library, deep-learning-models, image-classification, model-sparsification, object-detection, pruning-algorithms, recipe-driven-approaches, smaller-models, sparsification, sparsification-recipes",Pypi,https://pypi.org/project/sparseml/,https://github.com/neuralmagic/sparseml,https://github.com/neuralmagic/sparseml,,15
adversarial-robustness-toolbox,Toolbox for adversarial machine learning.,3464,940,Python,"adversarial-attacks, adversarial-examples, adversarial-machine-learning, ai, artificial-intelligence, attack, blue-team, evasion, extraction, inference, machine-learning, poisoning, privacy, python, red-team, trusted-ai, trustworthy-ai",Pypi,https://pypi.org/project/adversarial-robustness-toolbox/,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,,15
adapter-transformers,"A friendly fork of HuggingFace's Transformers, adding Adapters to PyTorch language models",1215,219,Python,"NLP, deep, learning, transformer, pytorch, BERT, adapters, natural-language-processing, transformers",Pypi,https://pypi.org/project/adapter-transformers/,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,,15
bertopic,BERTopic performs topic Modeling with state-of-the-art transformer models.,3747,482,Python,"nlp, bert, topic, modeling, embeddings, ldavis, machine-learning, sentence-embeddings, topic-modeling, topic-modelling, topic-models, transformers",Pypi,https://pypi.org/project/bertopic/,https://github.com/MaartenGr/BERTopic,https://github.com/MaartenGr/BERTopic,,15
mlagents,Unity Machine Learning Agents,14026,3693,C#,"deep-learning, deep-reinforcement-learning, machine-learning, neural-networks, reinforcement-learning, unity, unity3d",Pypi,https://pypi.org/project/mlagents/,https://github.com/Unity-Technologies/ml-agents,https://github.com/Unity-Technologies/ml-agents,,15
rasa-nlu,Rasa NLU a natural language parser for bots,15600,4236,Python,"nlp, machine-learning, machine-learning-library, bot, bots, botkit, rasa, conversational-agents, conversational-ai, chatbotchatbot-framework, bot-framework, chatbot, chatbots, chatbots-framework, conversation-driven-development, conversational-bots, mitie, natural-language-processing, nlu, spacy, wit",Pypi,https://pypi.org/project/rasa-nlu/,https://rasa.com,https://github.com/rasahq/rasa_nlu,,15
evaluate,HuggingFace community-driven open-source library of evaluation,1119,108,Python,"metrics, machine, learning, evaluate, evaluation, machine-learning",Pypi,https://pypi.org/project/evaluate/,https://github.com/huggingface/evaluate,https://github.com/huggingface/evaluate,,14
stable-baselines,"A fork of OpenAI Baselines, implementations of reinforcement learning algorithms.",3654,691,Python,"reinforcement-learning-algorithms, reinforcement-learning, machine-learning, gym, openai, baselines, toolbox, python, data-science",Pypi,https://pypi.org/project/stable-baselines/,https://github.com/hill-a/stable-baselines,https://github.com/hill-a/stable-baselines,,14
rasa-hydra,"Forked from the open source machine learning framework, Rasa",15600,4236,Python,"nlp, machine-learning, machine-learning-library, bot, bots, botkit, rasa-hydra, conversational-agents, conversational-ai, chatbotchatbot-framework, bot-framework, chatbot, chatbots, chatbots-framework, conversation-driven-development, conversational-bots, mitie, natural-language-processing, nlu, rasa, spacy, wit",Pypi,https://pypi.org/project/rasa-hydra/,https://rasa.com/docs/rasa/,,,14
tensorflow-io,TensorFlow IO,614,254,C++,"tensorflow, io, machine, learning, dataset, filesystem, streaming, tensorflow-io",Pypi,https://pypi.org/project/tensorflow-io/,https://github.com/tensorflow/io,https://github.com/tensorflow/io,,14
asreview,ASReview LAB - A tool for AI-assisted systematic reviews,404,84,Python,"systematic, review, machine-learning, active-learning, asreview, covid-19, deep-learning, learning-algorithms, literature, research, systematic-literature-reviews, systematic-reviews, utrecht-university",Pypi,https://pypi.org/project/asreview/,https://github.com/asreview/asreview,https://github.com/asreview/asreview,,14
OpenNMT-tf,Neural machine translation and sequence learning using TensorFlow,1365,381,Python,"tensorflow, opennmt, nmt, neural, machine, translation, deep-learning, machine-translation, natural-language-processing, neural-machine-translation, python",Pypi,https://pypi.org/project/OpenNMT-tf/,https://opennmt.net,https://github.com/OpenNMT/OpenNMT-tf,,14
deepctr,"Easy-to-use,Modular and Extendible package of deep learning based CTR(Click Through Rate) prediction models with tensorflow 1.x and 2.x .",6615,2040,Python,"ctr, click, through, rate, deep, learning, tensorflow, tensor, keras, autoint, click-through-rate, deep-learning, deepcross, deepfm, deepinterestevolutionnetwork, deepinterestnetwork, dien, din, esmm, factorization-machines, ffm, fgcnn, mlr, mmoe, nfm, ple, recommendation, xdeepfm",Pypi,https://pypi.org/project/deepctr/,https://github.com/shenweichen/deepctr,https://github.com/shenweichen/deepctr,,14
BentoML,Bentoml: The Unified Model Serving Framework,4530,527,Python,"MLOps, AI, BentoML, Model, Serving, Deployment, aws-lambda, aws-sagemaker, azure-ml, deep-learning, inference-server, kubernetes, machine-learning, machine-learning-operations, ml, ml-infrastructure, ml-platform, model-deployment, model-management, model-serving, prediction-service, pytorch, tensorflow",Pypi,https://pypi.org/project/BentoML/,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,,14
tensorflow-privacy,Library for training machine learning models with privacy for training data,1709,404,Python,"machine-learning, privacy",Pypi,https://pypi.org/project/tensorflow-privacy/,https://github.com/tensorflow/privacy,https://github.com/tensorflow/privacy,,14
tfds-nightly,tensorflow/datasets is a library of datasets ready to use with TensorFlow.,3747,1385,Python,"tensorflow, machine, learning, datasets, data, dataset, jax, machine-learning, numpy",Pypi,https://pypi.org/project/tfds-nightly/,https://github.com/tensorflow/datasets,https://github.com/tensorflow/datasets,,14
optimum,"Optimum Library is an extension of the Hugging Face Transformers library, providing a framework to integrate third-party libraries from Hardware Partners and interface with their specific functionality.",918,130,Python,"transformers, quantization, pruning, optimization, training, inference, onnx, runtime, intel, habana, graphcore, neural, compressor, ipu, hpu, onnxruntime, pytorch",Pypi,https://pypi.org/project/optimum/,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,,14
onnx-tf,Tensorflow backend for ONNX (Open Neural Network Exchange).,1130,292,Python,"deep-learning, deep-neural-networks, onnx, tensorflow",Pypi,https://pypi.org/project/onnx-tf/,https://github.com/onnx/onnx-tensorflow/,https://github.com/onnx/onnx-tensorflow,,14
hub,Activeloop Deep Lake,5225,418,Python,"ai, computer-vision, cv, data-centric, data-processing, data-science, data-version-control, datalake, datasets, deep-learning, image-processing, jupyter-notebook, lakehouse, machine-learning, ml, mlops, python, pytorch, tensorflow",Pypi,https://pypi.org/project/hub/,https://www.github.com/activeloopai/deeplake,https://github.com/activeloopai/deeplake,,14
deeppavlov,An open source library for building end-to-end dialog systems and training chatbots.,6036,1079,Python,"NLP, NER, SQUAD, Intents, Chatbot, ai, artificial-intelligence, bot, chitchat, deep-learning, deep-neural-networks, dialogue-agents, dialogue-manager, dialogue-systems, entity-extraction, intent-classification, intent-detection, machine-learning, named-entity-recognition, nlp-machine-learning, question-answering, slot-filling, tensorflow",Pypi,https://pypi.org/project/deeppavlov/,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,,14
hyperactive,A hyperparameter optimization toolbox for convenient and fast prototyping,430,39,Python,"machine, learning, deep, optimization, data-science, automated-machine-learning, bayesian-optimization, deep-learning, feature-engineering, hyperactive, hyperparameter-optimization, keras, machine-learning, model-selection, neural-architecture-search, parallel-computing, parameter-tuning, python, pytorch, scikit-learn, xgboost",Pypi,https://pypi.org/project/hyperactive/,https://github.com/SimonBlanke/Hyperactive,https://github.com/SimonBlanke/Hyperactive,,14
retina-face,RetinaFace: Deep Face Detection Framework in TensorFlow for Python,547,93,Python,"face-alignment, face-detection, face-detector, face-recognition, insightface, python, retinaface, retinaface-detector, tensorflow",Pypi,https://pypi.org/project/retina-face/,https://github.com/serengil/retinaface,https://github.com/serengil/retinaface,,14
baselines,OpenAI baselines: high quality implementations of reinforcement learning algorithms,13538,4486,Python,,Pypi,https://pypi.org/project/baselines/,https://github.com/openai/baselines,https://github.com/openai/baselines,,14
google-cloud-aiplatform,Vertex AI API client library,300,201,Python,,Pypi,https://pypi.org/project/google-cloud-aiplatform/,https://github.com/googleapis/python-aiplatform,https://github.com/googleapis/python-aiplatform,,14
keybert,KeyBERT performs keyword extraction with state-of-the-art transformer models.,2156,258,Python,"nlp, bert, keyword, extraction, embeddings, keyphrase-extraction, keyword-extraction, mmr",Pypi,https://pypi.org/project/keybert/,https://github.com/MaartenGr/keyBERT,https://github.com/MaartenGr/keyBERT,,14
mhcflurry,MHC Binding Predictor,143,43,Python,,Pypi,https://pypi.org/project/mhcflurry/,https://github.com/openvax/mhcflurry,https://github.com/openvax/mhcflurry,,14
tensorflow-federated,TensorFlow Federated is an open-source federated learning framework.,2029,532,Python,"tensorflow, federated, machine, learning",Pypi,https://pypi.org/project/tensorflow-federated/,http://tensorflow.org/federated,https://github.com/tensorflow/federated,,14
tensorflow-ranking,Pip package setup file for TensorFlow Ranking.,2589,452,Python,"tensorflow, ranking, learning-to-rank, deep-learning, information-retrieval, machine-learning, recommender-systems",Pypi,https://pypi.org/project/tensorflow-ranking/,https://github.com/tensorflow/ranking,https://github.com/tensorflow/ranking,,14
ml-metadata,A library for maintaining metadata for artifacts.,513,118,C++,"machine, learning, metadata, tfx",Pypi,https://pypi.org/project/ml-metadata/,https://github.com/google/ml-metadata,https://github.com/google/ml-metadata,,14
ddsp,Differentiable Digital Signal Processing,2390,286,Python,"audio, dsp, signalprocessing, machinelearning, music",Pypi,https://pypi.org/project/ddsp/,http://github.com/magenta/ddsp,https://github.com/magenta/ddsp,,13
mlprimitives,Pipelines and primitives for machine learning and data science.,65,37,Python,"mlblocks, mlprimitives, pipelines, primitives, machine, learning, data, science, automl, hyperparameter-tuning, machine-learning, machine-learning-pipelines",Pypi,https://pypi.org/project/mlprimitives/,https://github.com/MLBazaar/MLPrimitives,https://github.com/MLBazaar/MLPrimitives,,13
deepforest,Tree crown prediction using deep learning retinanets,336,126,JavaScript,,Pypi,https://pypi.org/project/deepforest/,https://github.com/Weecology/DeepForest,https://github.com/Weecology/DeepForest,,13
pyserini,A Python toolkit for reproducible information retrieval research with sparse and dense representations,762,202,Python,information-retrieval,Pypi,https://pypi.org/project/pyserini/,https://github.com/castorini/pyserini,https://github.com/castorini/pyserini,,13
StrawberryFields,Open source library for continuous-variable quantum computation,674,174,Python,"machine-learning, quantum, quantum-algorithms, quantum-computing, quantum-optics, quantum-programming-language, tensorflow",Pypi,https://pypi.org/project/StrawberryFields/,https://github.com/XanaduAI/StrawberryFields,https://github.com/XanaduAI/StrawberryFields,,13
interpret-community,Microsoft Interpret Extensions SDK for Python,373,78,Python,"deep-learning, explainer, explanationdashboard, interpretable-models, machine-learning, mimic-explainer, python, pytorch, tabular-explainer",Pypi,https://pypi.org/project/interpret-community/,https://github.com/interpretml/interpret-community,https://github.com/interpretml/interpret-community,,13
nlp-primitives,natural language processing primitives for Featuretools,32,10,Python,"feature, engineering, data, science, machine, learning, natural, language, processing",Pypi,https://pypi.org/project/nlp-primitives/,https://blog.featurelabs.com/natural-language-processing-featuretools/,https://github.com/alteryx/nlp_primitives,,13
vk-facenet,facenet,4569,1657,Python,"pip, vanke, facenet",Pypi,https://pypi.org/project/vk-facenet/,https://github.com/pypa/sampleproject,https://github.com/pypa/sampleproject,,13
DeepXDE,A library for scientific machine learning,1461,495,Python,"Scientific, machine, learning, Deep, Neural, networks, computing, Differential, equations, Physics-informed, deep-learning, deeponet, jax, multi-fidelity-data, neural-network, operator, paddle, pde, physics-informed-learning, pinn, pytorch, scientific-machine-learning, tensorflow",Pypi,https://pypi.org/project/DeepXDE/,https://github.com/lululxvi/deepxde,https://github.com/lululxvi/deepxde,,13
dice-ml,Generate Diverse Counterfactual Explanations for any machine learning model.,1018,149,Python,"machine-learning, explanation, interpretability, counterfactual, counterfactual-explanations, deep-learning, explainable-ai, explainable-ml, interpretable-machine-learning, xai",Pypi,https://pypi.org/project/dice-ml/,https://github.com/interpretml/DiCE,https://github.com/interpretml/DiCE,,13
